UNIDADE;INSPECAO;Grupo;ITEM
20008849;2001332023;646;2
20008844;2001392023;646;2
20008862;2001402023;646;2
20061274;2001512023;646;2
20307373;2001542023;243;1
20008855;2001602023;646;2
20302355;2001612023;243;1
20301634;2001622023;243;1
20301634;2001622023;243;2
20302410;2001632023;243;1
20302410;2001632023;243;2
20302495;2001672023;243;1
20303611;2001692023;243;3
20308868;2001802023;243;2
20307225;2001812023;243;2
20008873;2001842023;646;2
20008867;2001892023;646;2
20055869;2001902023;646;2
20300859;2001932023;243;2
20300522;2001942023;243;1
20046303;2001972023;646;2
20301863;2001992023;243;2
20055870;2002032023;646;2
20305621;2002042023;243;2
20300417;2002052023;243;2
20300531;2002072023;243;2
20300590;2002102023;243;2
20307837;2002132023;243;1
20307837;2002132023;243;3
20307403;2002172023;243;2
20306661;2002192023;243;2
20301693;2002212023;243;2
20046299;2002222023;646;2
20046299;2002222023;646;3
20055883;2002232023;646;2
20055883;2002232023;646;3
20060886;2002242023;646;2
20304285;2002262023;243;2
20305672;2002272023;243;2
20305672;2002272023;243;3
20301171;2002312023;243;2
20306822;2002322023;243;2
20306822;2002322023;243;3
20304919;2002352023;243;2
20303297;2002362023;243;3
20301073;2002392023;243;2
20303181;2002402023;243;1
20303181;2002402023;243;3
20426721;2002432023;646;2
20306563;2002442023;243;3
20305419;2002452023;243;3
20306938;2002462023;243;2
20306938;2002462023;243;3
20306130;2002472023;243;2
20306130;2002472023;243;3
20306652;2002502023;243;2
20306652;2002502023;243;3
20305451;2002512023;243;2
20061279;2002522023;646;2
20062453;2002532023;646;2
20304153;2002552023;243;1
20061276;2002562023;646;2
20424801;2002582023;646;2
20309091;2002622023;243;3
20304226;2002652023;243;2
20304536;2002722023;243;2
20304536;2002722023;243;3
20306687;2002732023;243;1
20306687;2002732023;243;3
20008885;2002752023;646;1
20008885;2002752023;646;2
20306041;2002762023;243;3
20306164;2002772023;243;2
20306164;2002772023;243;3
20305788;2002782023;243;3
20305958;2002792023;243;2
20305940;2002802023;243;2
20306342;2002832023;243;1
20306342;2002832023;243;2
20424803;2002872023;646;2
20306954;2002882023;243;2
20306954;2002882023;243;3
20305591;2002902023;243;2
20305338;2002912023;243;2
22300023;2200022023;243;2
22300023;2200022023;243;3
22300139;2200032023;243;1
22300139;2200032023;243;3
22300465;2200042023;243;2
22300104;2200062023;243;1
22300384;2200072023;243;1
22300384;2200072023;243;3
22425714;2200092023;646;2
22300180;2200102023;243;2
22045916;2200142023;646;2
22300759;2200152023;243;2
22300481;2200162023;243;2
22300252;2200182023;243;1
22300252;2200182023;243;2
22300031;2200242023;243;3
22300571;2200262023;243;1
22300571;2200262023;243;3
22011667;2200272023;646;2
22300431;2200282023;243;2
22300431;2200282023;243;3
24300691;2400012023;243;1
24300691;2400012023;243;2
24300691;2400012023;243;3
24300811;2400022023;243;2
24300811;2400022023;243;3
24300829;2400042023;243;2
24012164;2400062023;646;1
24300209;2400082023;243;2
24300454;2400202023;243;3
24012161;2400212023;646;2
24300608;2400222023;243;2
24301035;2400262023;243;2
24301035;2400262023;243;3
24300705;2400272023;243;1
24300705;2400272023;243;2
24300748;2400282023;243;3
24012163;2400292023;646;3
24301183;2400302023;243;3
24300349;2400322023;243;2
24300349;2400322023;243;3
24300721;2400362023;243;1
24300721;2400362023;243;2
24300047;2400372023;243;3
24300659;2400402023;243;2
24300411;2400422023;243;2
24300411;2400422023;243;3
26061698;2600012023;646;2
26300290;2600022023;243;2
26058477;2600042023;646;2
26300371;2600052023;243;2
26061697;2600072023;646;2
26300311;2600092023;243;2
26300192;2600102023;243;2
26300206;2600112023;243;2
26300206;2600112023;243;3
26300044;2600132023;243;2
26060167;2600152023;243;2
26300583;2600162023;243;2
26012726;2600192023;646;2
26012726;2600192023;646;3
26012728;2600202023;646;2
26060349;2600212023;646;2
28300157;2800012023;243;2
28013233;2800122023;646;2
28300211;2800352023;243;3
28061477;2800382023;646;2
28300831;2800412023;243;1
28300831;2800412023;243;2
28301285;2800492023;243;2
28300530;2800562023;243;2
30300843;3000062023;243;3
30301092;3000092023;243;3
30300088;3000122023;243;3
30300371;3000132023;243;1
30300371;3000132023;243;3
30301653;3000142023;243;3
30300304;3000152023;243;1
30300304;3000152023;243;3
30301351;3000162023;243;2
30301351;3000162023;243;3
30013880;3000182023;646;2
30013886;3000192023;646;1
30013886;3000192023;646;2
30048191;3000202023;646;2
30013882;3000212023;646;2
30013882;3000212023;646;3
30033463;3000252023;646;2
30013881;3000282023;646;2
30300169;3000292023;243;3
30429391;3000312023;646;2
30429391;3000312023;646;3
30013884;3000322023;646;2
